City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Olafsvik,IS,64.8945,-23.7142,36.25,73,100,22.01,overcast clouds
204,Rawson,AR,-43.3002,-65.1023,68.27,43,0,24.63,clear sky
205,Lyubim,RU,58.3625,40.6843,1.63,96,48,3.44,scattered clouds
206,San Patricio,US,28.017,-97.5169,73.83,85,100,10.6,overcast clouds
207,Valparaiso,CL,-33.0393,-71.6273,58.64,82,0,2.3,clear sky
208,Saldanha,ZA,-33.0117,17.9442,60.08,94,100,6.17,light rain
209,Nishihara,JP,26.1842,127.7558,71.65,48,75,17.27,broken clouds
210,Carbondale,US,37.7273,-89.2168,45.0,79,1,4.61,clear sky
211,Svetlyy,RU,54.675,20.1347,32.05,91,100,4.41,overcast clouds
212,Jumla,NP,29.2747,82.1838,55.15,35,0,2.91,clear sky
213,Molaoi,GR,36.8076,22.8513,50.34,75,0,3.51,clear sky
214,Namatanai,PG,-3.6667,152.4333,86.25,67,100,11.52,light rain
215,Bhikhi,IN,30.0667,75.5333,68.83,39,0,5.73,clear sky
216,Tual,ID,-5.6667,132.75,82.06,81,100,16.08,overcast clouds
217,Samarai,PG,-10.6167,150.6667,84.65,72,97,9.1,overcast clouds
218,Sevierville,US,35.8681,-83.5618,60.15,85,90,0.0,overcast clouds
219,Menongue,AO,-14.6585,17.691,63.36,94,100,3.91,overcast clouds
220,Zabol,AF,32.25,67.25,40.44,84,53,6.22,broken clouds
221,Thinadhoo,MV,0.5333,72.9333,81.99,80,58,17.02,heavy intensity rain
222,Manubul,PH,5.4732,120.7986,83.53,73,100,9.08,overcast clouds
223,Alenquer,BR,-1.9417,-54.7383,75.54,94,92,1.92,overcast clouds
224,Arica,CL,-18.475,-70.3042,66.43,72,0,2.3,clear sky
225,Langnau,CH,46.9394,7.7874,36.1,97,95,4.21,light snow
226,Filadelfia,US,39.9523,-75.1638,44.98,70,20,1.01,few clouds
227,Kalangala,UG,-0.3089,32.225,67.35,66,96,1.95,light rain
228,Airai,TL,-8.9266,125.4092,74.1,66,100,1.34,overcast clouds
229,Tabas,IR,33.5959,56.9244,48.13,42,0,2.3,clear sky
230,Plettenberg Bay,ZA,-34.0527,23.3716,63.25,96,100,12.48,overcast clouds
231,Khasan,RU,42.4308,130.6434,32.11,53,5,2.06,clear sky
232,Teluk Nibung,ID,3.001,99.8164,83.57,72,100,11.03,overcast clouds
233,Isla Vista,US,34.4133,-119.861,57.02,69,1,3.44,clear sky
234,Cabedelo,BR,-6.9811,-34.8339,79.47,83,44,11.56,scattered clouds
235,Adrar,MR,20.5022,-10.0711,61.56,22,100,11.1,overcast clouds
236,Eagle Pass,US,28.7091,-100.4995,64.24,69,65,5.08,broken clouds
237,Jalu,LY,29.0331,21.5482,54.09,77,0,9.64,clear sky
238,Esperance,AU,-33.8667,121.9,73.35,53,0,13.18,clear sky
239,Mount Gambier,AU,-37.8333,140.7667,67.55,40,0,10.83,clear sky
240,Codrington,AU,-38.2667,141.9667,62.69,47,0,14.38,clear sky
241,Eganville,CA,45.5334,-77.0994,21.51,79,94,5.88,overcast clouds
242,Marsa Matruh,EG,31.3525,27.2453,58.33,70,23,22.44,few clouds
243,Alihe,CN,50.5667,123.7167,23.18,72,100,1.92,overcast clouds
244,Sovetsk,RU,55.0839,21.8785,27.03,98,92,4.85,overcast clouds
245,Gold Coast,AU,-28.0,153.4333,80.24,66,40,14.97,scattered clouds
246,Manzil Salim,TN,35.8567,8.4765,43.66,52,0,5.08,clear sky
247,Dali,CN,25.7,100.1833,59.25,61,20,1.66,few clouds
248,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.89,80,0,2.75,clear sky
249,Upernavik,GL,72.7868,-56.1549,20.3,75,100,6.62,overcast clouds
250,Nuuk,GL,64.1835,-51.7216,34.41,93,75,27.63,light snow
251,Coahuayana,MX,18.7333,-103.6833,73.33,93,7,3.58,clear sky
252,Lata,PT,40.1629,-8.3327,52.81,78,81,7.85,broken clouds
253,Port Augusta,AU,-32.5,137.7667,84.7,23,100,5.48,overcast clouds
254,Vostok,RU,46.4856,135.8833,15.8,72,59,4.74,broken clouds
255,Koyelga,RU,54.6522,60.9049,32.72,84,100,15.77,overcast clouds
256,Lannion,FR,48.75,-3.4167,44.85,70,40,19.57,scattered clouds
257,Kandrian,PG,-6.2167,149.55,80.06,84,100,2.66,light rain
258,Guerrero Negro,MX,27.9769,-114.0611,61.84,84,40,14.47,scattered clouds
259,Half Moon Bay,US,37.4636,-122.4286,54.79,89,90,10.36,overcast clouds
260,Oriximina,BR,-1.7656,-55.8661,75.09,94,100,2.71,overcast clouds
261,Cidreira,BR,-30.1811,-50.2056,70.09,83,81,17.67,broken clouds
262,Margate,GB,51.3813,1.3862,40.96,84,100,5.01,moderate rain
263,Grand Gaube,MU,-20.0064,57.6608,82.38,67,7,5.99,clear sky
264,Kefamenanu,ID,-9.4467,124.4781,89.49,50,82,3.74,broken clouds
265,Timra,SE,62.487,17.3257,16.68,74,90,11.5,overcast clouds
266,Richards Bay,ZA,-28.783,32.0377,71.4,96,100,11.21,light rain
267,Alice Springs,AU,-23.7,133.8833,87.35,20,2,17.27,clear sky
268,Flinders,AU,-34.5833,150.8552,67.17,61,95,12.12,overcast clouds
269,Iberia,US,29.9502,-91.7507,65.1,94,90,3.44,fog
270,Shubarshi,KZ,48.5872,57.1869,27.95,70,22,6.67,few clouds
271,Raudeberg,NO,61.9875,5.1352,36.27,92,100,1.01,light snow
272,Camden,US,39.7835,-74.9663,44.67,54,68,7.58,broken clouds
273,Mount Darwin,ZW,-16.7725,31.5838,72.32,47,0,2.44,clear sky
274,Zverinogolovskoye,RU,54.4586,64.8542,30.04,84,81,16.84,broken clouds
275,Surt,LY,31.2089,16.5887,57.45,67,6,15.17,clear sky
276,Les Cayes,HT,18.2,-73.75,75.7,83,90,3.58,overcast clouds
277,Kovdor,RU,67.5662,30.4758,-0.89,100,100,3.13,overcast clouds
278,Shibetsu,JP,43.659,145.132,35.1,49,17,15.12,few clouds
279,Kirakira,SB,-10.4544,161.9205,85.24,72,84,1.81,broken clouds
280,Ambon,ID,-3.6954,128.1814,87.94,66,40,6.91,scattered clouds
281,Polovinnoye,RU,54.7914,65.9864,30.02,84,98,17.76,overcast clouds
282,Luangwa,ZM,-15.6167,30.4167,79.66,44,18,1.83,few clouds
283,Lexington,US,37.9887,-84.4777,42.98,56,1,1.01,clear sky
284,Saint-Georges,GD,12.0564,-61.7485,79.2,80,40,14.34,scattered clouds
285,Salekhard,RU,66.53,66.6019,-33.27,100,17,3.67,few clouds
286,Kahului,US,20.8947,-156.47,71.62,74,75,12.66,light rain
287,Mahibadhoo,MV,3.7833,72.9667,83.05,72,24,11.95,few clouds
288,Am Timan,TD,11.0297,20.2827,73.8,28,22,6.6,few clouds
289,Luanda,AO,-8.8368,13.2343,76.89,85,100,7.27,overcast clouds
290,Taltal,CL,-25.4,-70.4833,62.94,75,21,1.21,few clouds
291,Kiunga,PG,-6.1219,141.2906,80.73,92,97,3.49,light rain
292,Makakilo City,US,21.3469,-158.0858,71.92,70,90,10.36,light rain
293,San Vicente,AR,-26.6167,-54.1333,69.37,57,73,0.96,broken clouds
294,Russell,US,32.3502,-85.1999,57.99,100,1,0.0,fog
295,Inta,RU,66.0317,60.1659,-14.89,87,79,3.58,broken clouds
296,Pitimbu,BR,-7.4706,-34.8086,79.39,84,47,10.65,scattered clouds
297,Vilcun,CL,-38.65,-72.2333,47.14,84,0,2.15,clear sky
298,Sibolga,ID,1.7427,98.7792,83.93,74,97,2.57,overcast clouds
299,Marienburg,PL,54.0359,19.0266,33.46,86,100,5.23,overcast clouds
300,Miyako,JP,39.6367,141.9525,41.92,52,66,2.04,broken clouds
301,Cermik,TR,38.1361,39.4493,36.09,50,93,4.56,overcast clouds
302,Bereznik,RU,62.8551,42.7072,2.37,83,99,7.09,overcast clouds
303,Riyadh,SA,24.6877,46.7219,55.45,33,0,0.0,clear sky
304,Artyom,AZ,40.4723,50.333,50.14,75,100,22.57,overcast clouds
305,Muros,ES,42.7762,-9.0603,54.23,95,94,16.46,overcast clouds
306,Coro,VE,11.4045,-69.6734,76.95,88,76,11.99,broken clouds
